checkpoint,depth.building.abs_rel.mean,depth.building.delta1.mean,depth.building.delta2.mean,depth.building.delta3.mean,depth.building.mae.mean,depth.building.rmse.mean,depth.building.rmse_log.mean,depth.building.si_log.mean,depth.building.sq_rel.mean,depth.full.abs_rel.mean,depth.full.delta1.mean,depth.full.delta2.mean,depth.full.delta3.mean,depth.full.mae.mean,depth.full.rmse.mean,depth.full.rmse_log.mean,depth.full.si_log.mean,depth.full.sq_rel.mean,depth.non_building.abs_rel.mean,depth.non_building.delta1.mean,depth.non_building.delta2.mean,depth.non_building.delta3.mean,depth.non_building.mae.mean,depth.non_building.rmse.mean,depth.non_building.rmse_log.mean,depth.non_building.si_log.mean,depth.non_building.sq_rel.mean,normals.building.angular_mean.mean,normals.building.angular_median.mean,normals.building.inlier_11_25.mean,normals.building.inlier_22_5.mean,normals.building.inlier_30.mean,normals.full.angular_mean.mean,normals.full.angular_median.mean,normals.full.inlier_11_25.mean,normals.full.inlier_22_5.mean,normals.full.inlier_30.mean,performance.fps.mean,performance.latency_sec.mean,performance.vram_mb.mean,photometric.building.error.mean,photometric.building.inlier_ratio.mean,planarity.building.inlier_ratio.mean,planarity.building.residual_mean.mean,planarity.building.residual_median.mean,pose.ate_rot_deg.mean,pose.ate_trans.mean,pose.rpe_rot_deg.mean,pose.rpe_trans.mean
baseline,1.7213577063637089,0.4029654337987959,0.5978790432427352,0.6973219856126812,13.56831702599525,16.502909625245223,0.7827527131776543,0.5512166322505464,57.337779101401004,0.3938159817233682,0.6555071322172881,0.852999256901443,0.9176430601775646,4.2594279412850735,8.091074567183853,0.40193714178167284,0.39781454006023703,8.001622100096196,0.3474673641677946,0.6687214809544384,0.8669615160450339,0.928407991245389,3.8896854231506586,7.550764259897172,0.37341270344145594,0.367584047133103,6.71025820135232,83.75806117371884,84.92286228591097,0.032240606391636256,0.08829959006289935,0.12243503254063115,92.80362690544129,87.77271599578857,0.05234564171291277,0.09817044636711944,0.1162587850363925,2.3276170396796987,0.42962393853999675,10665.89453125,0.07506893144706647,0.650101239359577,0.1406845695916093,0.6229568675238137,0.507657435553422,177.2823695907593,3603.2402313537596,1.1269848098270594,48.23109982923525
checkpoint_0,0.7240774430582325,0.13906460947034185,0.27861886919547185,0.41011287117075734,16.500551257708818,19.830565255427697,0.9421709393239829,0.5516499370778569,13.109658627376884,0.5897353640124202,0.240686540029943,0.4550304766446352,0.6519400081261992,7.904699046000839,12.061427113831042,0.6828225691094995,0.6775181837920099,5.948514611182734,0.5886011213883757,0.24522303349524738,0.4638417720347643,0.6650844106450677,7.484782083280384,11.440081764072179,0.6665156995225697,0.6588393143732101,5.653828847168945,74.74186494437572,84.6754403374308,0.0487120217906502,0.14618932494336773,0.19353268992037492,72.34376167678833,82.08984587860107,0.050727897517383096,0.15544535320997238,0.20434003815054894,1.1017509442817337,0.9076461474257521,20314.72900390625,0.13188441496659795,0.493218428743792,0.2782494593487818,0.29691246155156303,0.26999989578071915,177.18607629013061,3604.1963572998047,1.2709342871744715,54.90960854231886
checkpoint_1,0.7142365212070882,0.14342477119244626,0.2771344673607597,0.40879874847472,17.226644080660872,20.553907886804037,0.9332565644371658,0.552501352030806,13.515184824654352,0.5477109002955258,0.25796165214851496,0.48898149010539055,0.6925116751343012,7.724122133374214,12.13986350184679,0.6537366785760969,0.6481692677754909,5.541485525298864,0.5420607049185783,0.2636357205379754,0.5009744626134635,0.7082598422467709,7.2739424644559625,11.475205865696072,0.6351300013381987,0.6280978536829352,5.197960968604312,75.73400243471112,84.11526523452152,0.03696733609448062,0.1203813344688446,0.17050308263847908,76.92586305236816,81.15007567214965,0.021350929737556725,0.07424314677063376,0.1158663985747844,1.1046099600879076,0.9052969248262234,20314.72900390625,0.1295381463311526,0.5046137436658608,0.2730156089695125,0.29612859508072664,0.266913170065003,177.5054030075073,3579.030436004639,1.1956089611617582,52.558283067498884
checkpoint_2,0.7188839666007768,0.14820764894433028,0.28782628767454327,0.4253419305077802,16.283783073938828,19.575307056261646,0.9111720702794637,0.5590104502998487,12.822738603775015,0.5431456128638238,0.2602053456176072,0.49410697658360003,0.700363934457302,7.562575440458954,11.928365112781524,0.6479689219221473,0.6424759034309536,5.391939315361902,0.5362118295002729,0.26628814823366703,0.5060119536742568,0.7159893932640553,7.141560300812126,11.313107533067464,0.6298777963109314,0.623224508555606,5.062116606702097,75.66854114243031,83.81779754003085,0.03624450585485594,0.11579641260981985,0.16516407776696648,77.64740365982055,81.4492836894989,0.02011542509915307,0.06794511533156038,0.10691394554637372,1.099384250838422,0.9096000777138397,20321.94970703125,0.13488730457316525,0.49281682273582467,0.2819986426934455,0.3033667877600758,0.2721766262408494,177.44093592834471,3574.1395087585447,1.0935710579933864,45.960387155328476
checkpoint_3,0.6951679447371177,0.14713022225452943,0.29294360812342213,0.44119414130818413,16.0078828236889,19.242616736855663,0.8790064731275516,0.5422879184814489,12.354304897056796,0.5319748724643141,0.26986425948515536,0.5082488502040505,0.7156016396284104,7.357378138296306,11.572241847261786,0.6263241408616305,0.6215635876860469,5.183246558332816,0.525208646768704,0.27660104001685976,0.5211507076174021,0.73137480263412,6.923895423978567,10.943998111546039,0.6084722445085645,0.6019792881105095,4.85130204867851,76.404887017517,80.60733685632827,0.02069523115410871,0.07360908057390252,0.11683084692499586,78.85870166969299,80.79726874732971,0.014364150535548105,0.05098419050872326,0.09018361315503716,1.095904599489734,0.9124881859840825,20321.94970703125,0.15378529193983229,0.45674534116538695,0.26573536132255016,0.3063898446912376,0.2768432685638276,177.52845455932618,3606.5140510253905,1.3656771892612534,50.74772414632354
checkpoint_4,0.7749594550086604,0.13945903282818636,0.27645780904490913,0.4134996864615059,16.732520443688962,19.978926616736267,0.9194289856484649,0.5536103097450256,13.619769406717118,0.5389104387909174,0.26106056723743676,0.49696896797418594,0.7070332792550326,7.552167987875641,11.924384075254203,0.6371166862919927,0.6322174634262919,5.334246255706995,0.5316793848089874,0.26773347733169794,0.5096234482973814,0.7227198639214039,7.125122385114431,11.299750684648751,0.618996109219268,0.6127981932274997,5.002030408551916,77.03078324744043,76.51224448466695,0.013177716381293027,0.046717366822620954,0.078859106322418,79.32093925285339,79.13269780731201,0.011849916299572215,0.040646233038045466,0.07446675648540259,1.0945254690862298,0.9136379447020591,19678.95361328125,0.1553417225878433,0.4445490830658785,0.2700850549550242,0.31920330670854385,0.2886913329271041,177.74998069381715,3616.180217102051,1.3010609867892096,45.688638583830425
checkpoint_5,0.7205832769027802,0.15225702043230216,0.2994566480048907,0.44489493477972836,16.08837895123002,19.25134298091135,0.8850240551540473,0.5322794726431513,12.764732190126814,0.5359788907002657,0.26480801427550615,0.5025261998400092,0.7113944908380508,7.412751235537231,11.66525457406044,0.6316155336759984,0.6267976253982633,5.2329111690539865,0.5292612508907915,0.2711241580378264,0.515509042352438,0.7275154934823513,6.970865310356021,11.012035992860794,0.613145473819226,0.6067207805737853,4.892476916748099,77.04396020339766,76.4108069001776,0.012452928522280988,0.04494568082929827,0.07738634287276265,79.16841513061523,79.20574368476868,0.011710985807003454,0.0413467810889706,0.0758645639680326,1.0999433856521355,0.909137700216379,19678.95361328125,0.15521752564441396,0.45044416185299696,0.26778082834182215,0.3146188653394365,0.28410483273119436,177.7029707336426,3590.6475584106447,1.2693389272051199,48.52840447841372
checkpoint_6,0.7459166971685937,0.13972071369869593,0.2806928390053341,0.4232075521359296,16.571432446278386,19.725957022204035,0.9050630116537708,0.5388545603618772,13.261261408752242,0.5383757818080485,0.2605674617122859,0.49739455070346594,0.7092302715182305,7.504329209566117,11.822094294592738,0.635715162217617,0.6309082453660667,5.292768824385479,0.5318839196879417,0.26741231210529803,0.510334859713912,0.7256200568377972,7.05692923887074,11.169007150784134,0.6173213520720601,0.6105061566662043,4.9536408041268585,76.9176361872677,76.07449660249472,0.012209490463360773,0.04358054963346108,0.07562466778030653,79.16863190460205,79.26908742523193,0.011141184273641556,0.04047007769113407,0.07533738006744534,1.0964729011529628,0.9120152435582131,20316.517578125,0.15086184785910078,0.4563608507580798,0.27556906628960115,0.306927399071751,0.2759598425113902,177.70577570724487,3610.3023117980956,1.1709778636353358,45.78409410648687
checkpoint_7,0.7662225343603353,0.1544974725144298,0.3031075517650757,0.443466034294209,15.975481779389298,19.180169987242728,0.8899731084443866,0.5358212918256926,13.125524218845168,0.5284323863200844,0.267789642047137,0.5078773689568042,0.7172322755753994,7.367252660162747,11.621370609655976,0.6265387990809977,0.6216091518849134,5.157099706731737,0.5225006966851652,0.273791798600927,0.5200119578465819,0.7329527836591005,6.944793536692858,11.003165676161647,0.6091421653423459,0.6022649466693402,4.8373005189336835,76.52470774914761,75.92125228618515,0.011794056673844373,0.044182952804292984,0.07763623635253869,79.10972270011902,79.49842535018921,0.011253982463967986,0.04136526554170996,0.07687226945441217,1.0978283538962044,0.9108892081817612,20316.517578125,0.14769053712713254,0.4644762998077127,0.278600635094841,0.3067461526015004,0.2757585781637673,177.72643667984008,3604.0873600158693,1.3217327175693852,53.966470862422675
checkpoint_8,0.7073108034367424,0.15926997559970515,0.3069857176066163,0.44652133360068547,15.935325485640545,19.272463132506918,0.8850771723269689,0.5500931761737042,12.474269074170026,0.5334370689000935,0.2683588886726648,0.5074649488031864,0.7169250565171241,7.34512283848226,11.632470696017146,0.6306210383586586,0.6256721174027771,5.19109441844374,0.5272603573929519,0.27414616649597884,0.5190387589782477,0.7320374293327332,6.928526987358928,11.019292588934302,0.6134028667025269,0.6068838597517461,4.871546422130428,76.37239293935822,75.16904754173464,0.011807223538447188,0.04196551634558113,0.07442533118372056,79.05694539070129,79.3760687198639,0.011083447586745024,0.040858496064785865,0.07629332064837217,1.0876511759801992,0.9194124201619998,19675.60400390625,0.14554635278949654,0.4678928433441378,0.279651056959326,0.31637300703961474,0.2854922434346285,177.70141318130493,3612.704740814209,1.26505995621,51.13761246278031
