checkpoint,depth.building.abs_rel.mean,depth.building.delta1.mean,depth.building.delta2.mean,depth.building.delta3.mean,depth.building.mae.mean,depth.building.rmse.mean,depth.building.rmse_log.mean,depth.building.si_log.mean,depth.building.sq_rel.mean,depth.full.abs_rel.mean,depth.full.delta1.mean,depth.full.delta2.mean,depth.full.delta3.mean,depth.full.mae.mean,depth.full.rmse.mean,depth.full.rmse_log.mean,depth.full.si_log.mean,depth.full.sq_rel.mean,depth.non_building.abs_rel.mean,depth.non_building.delta1.mean,depth.non_building.delta2.mean,depth.non_building.delta3.mean,depth.non_building.mae.mean,depth.non_building.rmse.mean,depth.non_building.rmse_log.mean,depth.non_building.si_log.mean,depth.non_building.sq_rel.mean,normals.building.angular_mean.mean,normals.building.angular_median.mean,normals.building.inlier_11_25.mean,normals.building.inlier_22_5.mean,normals.building.inlier_30.mean,normals.full.angular_mean.mean,normals.full.angular_median.mean,normals.full.inlier_11_25.mean,normals.full.inlier_22_5.mean,normals.full.inlier_30.mean,performance.fps.mean,performance.latency_sec.mean,performance.vram_mb.mean,photometric.building.error.mean,photometric.building.inlier_ratio.mean,planarity.building.inlier_ratio.mean,planarity.building.residual_mean.mean,planarity.building.residual_median.mean,pose.ate_rot_deg.mean,pose.ate_trans.mean,pose.rpe_rot_deg.mean,pose.rpe_trans.mean
baseline,2.236084953848535,0.3682595887235234,0.5572076780791184,0.6551293114527967,15.66141403344439,18.39604631456782,0.8664102256036305,0.5488657942586566,79.42312866697553,0.3915006561250444,0.6651842611604462,0.8597170594130077,0.9205277210162356,4.343019062821187,8.300489858998095,0.3966682199011344,0.39274812327253517,8.361768174757024,0.3583212929850846,0.673723814554902,0.8684229096263841,0.9274330714705333,4.084613871345528,7.912141726531234,0.3771821569684844,0.37240344907546696,7.368785470903522,84.07632725187705,84.38501665806908,0.029373902501868325,0.0826060751733944,0.11657921135932074,93.14398853950252,87.80693642049054,0.05260828049438096,0.0974727759682543,0.11532949262657781,0.9365108133564584,1.0677933300268003,8928.06640625,0.07370146767269212,0.646908213876745,0.14871181791304575,0.6202658555716118,0.5077758807743223,177.11385561687496,3620.31026926477,1.1890076624599994,50.26937655348237
checkpoint_0,0.8025638983588866,0.13063129787552244,0.25901514182768964,0.3872102787189628,17.345464729652157,20.60312978415069,0.9803705242771007,0.5505309103032852,14.416310853397203,0.59821898346779,0.2328735498096672,0.44279025093305346,0.6410103494946668,8.21345135567868,12.544784046724146,0.6946682939689387,0.6892467789826732,6.194663075553679,0.5966273555398182,0.2362943282697861,0.4493118473006035,0.6501326859338221,7.912285517304649,12.094752761916398,0.6828258196823299,0.6764178670881913,5.976616008264116,74.77780014978023,84.78646361050247,0.049292381402527834,0.14784582428039098,0.1956557538048426,72.28799579096776,82.15059222988054,0.052362560532573196,0.1591914021574399,0.206630252093515,0.300886634949635,3.323510863709146,27213.28173828125,0.13324895527861289,0.4846911914339833,0.31551275438953413,0.27725663499456454,0.2522172714733682,177.7689366297005,3620.3110181122825,1.176601556965596,50.26926165678644
checkpoint_1,0.9063906780197485,0.14681446957279298,0.2913737844011139,0.4394106909909358,16.185190176714958,19.24647413022639,0.8890282812628981,0.5540522038804307,15.047013363285656,0.5562793989568413,0.27383610171941564,0.5126786546258171,0.70693092854097,7.511769500572015,11.67427151239191,0.6295961556840518,0.6257467149458582,5.585955622216407,0.5513447097557432,0.27822931002874196,0.5205361387747176,0.7158454372504958,7.228331998294962,11.260477993569149,0.6194562427644782,0.6145331172418653,5.360709241091036,83.96631914174087,83.7373310714098,0.019257108961376355,0.053057160962811246,0.0842766870572964,81.09282907535827,79.07056556776458,0.025541266974585215,0.06734772780240555,0.10607449405284879,0.30109810951777405,3.3211766144980372,27213.28173828125,0.13143357786746837,0.49142042788711804,0.29578358236328495,0.29961510839429417,0.2632062517511625,178.06140792073768,3620.3075139164143,1.0583573908321593,50.26931770753209
checkpoint_2,0.9496446784564119,0.16939622679327904,0.33890891181435007,0.5122034519855788,14.91359442621487,17.798790938975987,0.8123064389116849,0.5475066629500066,15.15284571005454,0.3414874328400794,0.44752660479238315,0.7333514601613085,0.8556622656950958,5.64330408323824,10.089851215654631,0.468754623560661,0.4154661682008285,3.570147741150592,0.32680686481564847,0.45704081987633427,0.7467881063522857,0.8666818636305192,5.341081932859094,9.657868356549857,0.45307974938631934,0.39892767489845166,3.2832925568897813,76.8414620402714,84.05123111333064,0.03730183529389381,0.11647922795625616,0.16115805628708513,87.88722275752647,86.57460216198092,0.05490774900098545,0.10441003105940991,0.1304345373201239,0.3007727189371372,3.324769625163392,27213.28173828125,0.1344121182275323,0.4824445297201692,0.2783439752874442,0.32104866304323776,0.2777995389689494,178.0265120362924,3620.307301998762,1.0526623862808577,50.269244503000984
checkpoint_3,0.9401248756589358,0.16401358229869842,0.3294259797612816,0.5015436770451268,15.083989016613769,17.993690251111758,0.8216795624732055,0.5468523838226443,15.038855435664152,0.31784583345585155,0.5321801637195879,0.7565759015604366,0.8550419423290911,5.523195484679898,10.163570672239548,0.45816947271913483,0.4169387479020538,3.5198968625263753,0.30212640802351626,0.5459589766514993,0.7721410729064077,0.8666542669478196,5.208043769958849,9.720796947429578,0.44056214379645836,0.39952433435733314,3.229161405662726,75.42930007301989,84.56573877022994,0.05214060168008323,0.1390243687845059,0.17710699475811958,87.83908974267298,86.31601706299128,0.05397828579887906,0.11183896975247859,0.13613071289290887,0.29994174433807447,3.3339807441836644,29104.3212890625,0.12943716825746296,0.4952956854272434,0.28185594643678125,0.3171735606441961,0.27539940799365725,178.00529274909326,3620.3013314141167,1.0761881184166804,50.269155098335084
checkpoint_4,0.9458674421011075,0.16215011099392163,0.33004708791805143,0.5049979797953161,15.012963830058322,17.899467655855105,0.819143773296623,0.5452158138989938,15.13640230957015,0.3108979299475798,0.5463573279047957,0.7637058227548218,0.8599849980470596,5.407328681314206,10.036852639713903,0.4504449723641467,0.4104841413183345,3.457603543605716,0.2949330029747406,0.5603731033057462,0.7795134489552356,0.8716636142748244,5.091502590277811,9.592981927812684,0.43254378863908594,0.3927257720721898,3.1644313460008964,75.47405791782442,83.82784338854057,0.05013532756773456,0.13162242583579842,0.1675830534473367,88.21239601646373,86.61254139133528,0.04955836403627996,0.10976422758882537,0.13402534617549355,0.29936541036252895,3.3403992758849745,22604.99169921875,0.13140079495592558,0.4907422863614697,0.28080960633804175,0.3186876624819754,0.27712246926345907,177.9414747375289,3620.298348470451,1.103230271056072,50.26916410427968
checkpoint_5,1.090069859034616,0.2532538275126711,0.47017584572055,0.6407635446989828,12.714385022514946,15.08813924831101,0.7203309104110056,0.5274022875373646,18.017704374850013,0.3039177749415531,0.6260329760136265,0.8393385422945607,0.9159913406993438,4.282092461364916,7.908483288763395,0.37119016201886673,0.36255583431255195,3.199766186289063,0.28530521711937207,0.6370923484791241,0.8504761400809085,0.923770951971509,4.0312976866643995,7.54782410711537,0.3555594879531247,0.34567619838076186,2.865450027270632,79.73358493281802,78.3109500005829,0.021525662402996543,0.06429522219500103,0.10328041493121784,91.47539838279774,86.46828289966957,0.03977309833779121,0.08326594085323022,0.10709359088054328,0.2990655814765974,3.34374820085491,22604.99169921875,0.13062955778858426,0.4928019500638278,0.2311904426936017,0.3816696316256152,0.33179502874804706,178.0228059220158,3620.2844771939945,1.0813083834433102,50.26906299460001
checkpoint_6,1.129996521609906,0.3103660629030081,0.5334588506552946,0.6871821043785309,11.5927460166917,13.765101999204965,0.6924753627181534,0.512876708867975,19.456457476440114,0.30745270788377405,0.6431155420742394,0.8602629056236908,0.9297044261364765,3.939890842709471,7.078378234940027,0.35489666327054986,0.34992888049082527,3.3506144958983475,0.2880971675872608,0.6523196924976956,0.8699180598888132,0.9365611314530077,3.717807937157797,6.755875972814225,0.33985461157996183,0.33347201118964,2.9903624796987285,80.71533234620041,83.01225469463924,0.03658542998599524,0.11366505183387272,0.15703156567492235,92.11827585743923,86.93304712071138,0.04388965805102249,0.09115547637053419,0.11592692604373678,0.29890476053898457,3.3455472512274533,29845.2724609375,0.13163184714413007,0.48973806802941644,0.20815184180610644,0.4164175478278842,0.3688800785616008,178.04100905773686,3620.2758874930587,1.0720108610648318,50.269011365376706
checkpoint_7,1.1327235128261874,0.32719409539759675,0.552288607234437,0.6976069828510598,11.263429411241637,13.380416641732767,0.6860114551586776,0.5074422336324901,19.710676214753143,0.3068239359358581,0.6601774063971795,0.8668957516477973,0.9320477496321294,3.854966873544104,6.905573791428622,0.35078342348044994,0.34673257721588013,3.455448629784404,0.28700929251225554,0.6701312913808948,0.8763956241650519,0.9386650793595251,3.637498959852687,6.594282650984093,0.3355926351591312,0.3305240431276996,3.0869224737927903,81.03842751160902,84.47881417766446,0.04898092954805296,0.12327063014680203,0.16443609340492227,91.9972601971595,86.98297875285928,0.044539056578955426,0.09162381422170286,0.11652226658550158,0.29880235151428947,3.3466938761764644,22006.06591796875,0.13192277615676035,0.4895622193215134,0.19878858229422092,0.43094424427655725,0.3864642666205228,178.03456617866468,3620.268108582341,1.059025719227751,50.268949319398594
checkpoint_8,1.113885795988124,0.3344020908910779,0.5607500980379506,0.7040306834279821,11.054466663110604,13.15151507898577,0.6782256061280377,0.5025770007141735,19.187092832960726,0.30362357177430754,0.6652670652648203,0.8701584421073884,0.9335324840754076,3.812836396789142,6.826488240150844,0.3473175548850954,0.3433891436091192,3.406372941038541,0.28408556843048655,0.6754183019736624,0.8795472896469185,0.9400018649650556,3.599267123503233,6.5224454434332895,0.33227033670443823,0.3274224541606564,3.0474216574845605,80.98494306980467,84.7114153960952,0.05246381420665696,0.12630849654390047,0.16681004677836905,92.15139627518997,87.04968264274348,0.04466269383282291,0.09215220233206363,0.11682520986966838,0.2990947524648697,3.343422081995422,22006.06591796875,0.1334924346607487,0.48555421374997776,0.19629018546477897,0.43129448920211505,0.39001958179320817,177.9790750653136,3620.260983396044,1.0638332589114665,50.26894285422859
